developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
MTO,32,0.0,1.47,7.87,0.2459375,0.08499999999999999
Mac Play,3,0.0,0.27,0.28,0.09333333333333334,0.01
"Machatin, Inc.",2,0.26,0.52,0.78,0.39,0.39
MachineGames,11,0.1,1.61,6.22,0.5654545454545454,0.46
Mad Catz,2,0.07,0.2,0.27,0.135,0.135
Mad Doc Software,4,0.02,0.18,0.27,0.0675,0.035
Mad Monkey Studio,2,0.01,0.03,0.04,0.02,0.02
MadMinute Games,1,0.0,0.0,0.0,0.0,0.0
Maddox Games,1,0.0,0.0,0.0,0.0,0.0
Madlab Software,1,0.0,0.0,0.0,0.0,0.0
Madmind Studio,2,0.02,0.03,0.05,0.025,0.025
Magellan Interactive,8,0.01,0.46,1.1700000000000002,0.14625000000000002,0.125
Magenta Software,6,0.08,0.92,2.44,0.4066666666666667,0.36500000000000005
Magic Pixel Games,1,0.23,0.23,0.23,0.23,0.23
Magic Pockets,30,0.0,1.71,7.0,0.23333333333333334,0.065
Magic Rings,1,0.19,0.19,0.19,0.19,0.19
Magic Wand Productions,5,0.06,0.63,1.53,0.306,0.17
MagicIndie,1,0.0,0.0,0.0,0.0,0.0
MagicPot,1,0.03,0.03,0.03,0.03,0.03
MagicWand,3,0.03,0.09,0.19,0.06333333333333334,0.07
Magical Company,1,0.41,0.41,0.41,0.41,0.41
Magical Company Ltd,1,0.3,0.3,0.3,0.3,0.3
Magix,2,0.04,0.31,0.35,0.175,0.175
Maid meets Cat,1,0.0,0.0,0.0,0.0,0.0
Majesco,2,0.02,0.16,0.18,0.09,0.09
Majesco Entertainment,1,0.18,0.18,0.18,0.18,0.18
Majesco Games,28,0.01,1.21,8.040000000000001,0.2871428571428572,0.22999999999999998
Mana Comp. Soft.,1,0.02,0.02,0.02,0.02,0.02
Marionette,1,0.13,0.13,0.13,0.13,0.13
Marvelous,11,0.02,0.95,2.71,0.24636363636363637,0.08
