developer,count,min_total_sales,max_total_sales,total_sales_sum,total_sales_mean,total_sales_median
Syangrila,1,0.01,0.01,0.01,0.01,0.01
Synetic,6,0.0,0.07,0.1,0.016666666666666666,0.0
Synthetic Dimensions,1,0.05,0.05,0.05,0.05,0.05
Syrox Developments,3,0.11,1.15,1.42,0.47333333333333333,0.16
Syscom Entertainment,1,0.13,0.13,0.13,0.13,0.13
System 3,6,0.01,0.16,0.42,0.06999999999999999,0.05500000000000001
System 3 Arcade Software,1,0.03,0.03,0.03,0.03,0.03
System 3 Software,5,0.0,0.12,0.25,0.05,0.06
System Prisma,3,0.03,0.05,0.12,0.04,0.04
System Soft,13,0.0,0.01,0.05,0.0038461538461538464,0.0
System Soft Alpha,3,0.01,0.02,0.05,0.016666666666666666,0.02
SystemSoft,3,0.03,0.34,0.41000000000000003,0.1366666666666667,0.04
SystemSoft Alpha,1,0.0,0.0,0.0,0.0,0.0
T7 Games,1,0.0,0.0,0.0,0.0,0.0
TBA,13,0.01,0.23,1.46,0.1123076923076923,0.1
TBD,4,0.06,0.28,0.61,0.1525,0.135
TDK Core,4,0.0,0.16,0.25,0.0625,0.045
TDK Mediactive,3,0.05,0.19,0.3,0.09999999999999999,0.06
TGL,4,0.01,0.04,0.12,0.03,0.035
THQ,86,0.0,0.93,18.89,0.21965116279069768,0.18
THQ Australia,3,0.13,0.42,0.8,0.26666666666666666,0.25
THQ Australia Studios Pty Ltd.,6,0.12,0.44,1.6400000000000001,0.2733333333333334,0.245
THQ Digital Phoenix,1,0.25,0.25,0.25,0.25,0.25
THQ Nordic,4,0.01,0.03,0.09,0.0225,0.025
TML Studios,1,0.01,0.01,0.01,0.01,0.01
TOSE,43,0.02,1.45,16.87,0.39232558139534884,0.24
TOSE Software,15,0.07,0.85,5.78,0.38533333333333336,0.34
TT Fusion,44,0.03,1.32,20.14,0.45772727272727276,0.345
TT Games / Harmonix Music Systems,4,0.42,0.7,2.13,0.5325,0.505
TYO,1,0.42,0.42,0.42,0.42,0.42
Tachyon Inc.,1,0.01,0.01,0.01,0.01,0.01
Tactical Development,2,0.11,0.15,0.26,0.13,0.13
Taito,2,0.04,0.28,0.32,0.16,0.16
Taito Corporation,54,0.0,1.36,6.03,0.11166666666666668,0.045
Takagism Inc.,1,0.0,0.0,0.0,0.0,0.0
Takara,20,0.0,0.73,4.13,0.2065,0.215
Takara Tomy,42,0.0,0.3,2.49,0.05928571428571429,0.04
Takara Tomy ARTS,3,0.03,0.08,0.19,0.06333333333333334,0.08
Take 2 Interactive,1,0.25,0.25,0.25,0.25,0.25
Take-Two Interactive,10,0.0,0.52,2.28,0.22799999999999998,0.20500000000000002
Takuyo,6,0.0,0.01,0.03,0.005,0.005
Taleworlds,3,0.02,0.02,0.06,0.02,0.02
Talking Stick Games,2,0.05,0.15,0.2,0.1,0.1
Tamsoft,15,0.0,1.27,3.13,0.20866666666666667,0.07
Tamsoft Corporation,9,0.01,0.29,1.2,0.13333333333333333,0.13
Tangentlemen,1,0.04,0.04,0.04,0.04,0.04
Tango Gameworks,6,0.39,1.86,5.35,0.8916666666666666,0.78
Taniko,3,0.06,0.16,0.35,0.11666666666666665,0.13
Tantalus,1,0.46,0.46,0.46,0.46,0.46
Tantalus Interactive,22,0.01,0.92,4.21,0.19136363636363637,0.125
Tantatus Interactive,1,0.34,0.34,0.34,0.34,0.34
Tarsier Studios,3,0.05,0.39,0.6,0.19999999999999998,0.16
Tate Interactive,5,0.0,0.05,0.11,0.022,0.02
Team .366,1,0.58,0.58,0.58,0.58,0.58
Team 3 Games,1,0.0,0.0,0.0,0.0,0.0
Team 6 Games Studio,2,0.03,0.04,0.07,0.035,0.035
Team Andromeda,3,0.11,0.37,0.79,0.26333333333333336,0.31
Team Bondi,5,0.25,3.21,7.24,1.448,0.6
Team Dakota,1,0.17,0.17,0.17,0.17,0.17
Team Destiny,1,0.07,0.07,0.07,0.07,0.07
Team Fusion,9,0.16,4.11,10.64,1.1822222222222223,0.41
Team GrisGris,4,0.04,0.23,0.37,0.0925,0.05
Team ICO,2,0.47,1.14,1.6099999999999999,0.8049999999999999,0.8049999999999999
Team Land Ho!,2,0.04,0.06,0.1,0.05,0.05
Team Meat,2,0.01,0.03,0.04,0.02,0.02
Team Ninja,22,0.05,1.0,6.97,0.31681818181818183,0.25
Team Ramrod,1,0.15,0.15,0.15,0.15,0.15
Team Silent,1,0.0,0.0,0.0,0.0,0.0
Team Soho,2,1.78,3.54,5.32,2.66,2.66
Team Tachyon,3,0.09,0.19,0.4,0.13333333333333333,0.12
Team17 Digital Ltd,2,0.02,0.05,0.07,0.035,0.035
Team17 Software,26,0.0,0.86,2.54,0.09769230769230769,0.05
Team17 Software / Two Tribes,2,0.35,0.45,0.8,0.4,0.4
Team6 Game Studio,1,0.06,0.06,0.06,0.06,0.06
Team6 Game Studios,4,0.01,0.4,0.48000000000000004,0.12000000000000001,0.035
TechFront,2,0.15,0.16,0.31,0.155,0.155
Techland,19,0.01,2.45,12.94,0.6810526315789474,0.27
TechnoBrain,1,0.05,0.05,0.05,0.05,0.05
"TechnoSoft Co., Ltd.",2,0.02,0.05,0.07,0.035,0.035
Technos,1,0.02,0.02,0.02,0.02,0.02
Technos Japan Corporation,1,0.03,0.03,0.03,0.03,0.03
Tecmo,33,0.0,0.46,4.38,0.13272727272727272,0.09
Tecmo / Graphic Research,1,0.01,0.01,0.01,0.01,0.01
Tecmo Koei Canada,2,0.06,0.19,0.25,0.125,0.125
Tecmo Koei Games,25,0.01,1.02,3.39,0.1356,0.06
Tectonic Studios,1,0.08,0.08,0.08,0.08,0.08
Tectoy Digital,1,0.0,0.0,0.0,0.0,0.0
Teeny Weeny Games,1,0.06,0.06,0.06,0.06,0.06
Teku Studios,1,0.01,0.01,0.01,0.01,0.01
"Telegames, Inc.",4,0.0,0.12,0.13999999999999999,0.034999999999999996,0.01
Telenet,1,0.08,0.08,0.08,0.08,0.08
Telenet Japan / Wolfteam,1,0.81,0.81,0.81,0.81,0.81
Telesys,1,0.29,0.29,0.29,0.29,0.29
Telltale Games,59,0.0,1.2,11.99,0.20322033898305086,0.1
Tempest Software,1,0.41,0.41,0.41,0.41,0.41
Tenco,1,0.01,0.01,0.01,0.01,0.01
Tenky,6,0.02,0.16,0.4,0.06666666666666667,0.060000000000000005
Tenyo,1,0.43,0.43,0.43,0.43,0.43
Tequila Works,6,0.03,0.15,0.53,0.08833333333333333,0.095
Tera Box,1,0.0,0.0,0.0,0.0,0.0
Terminal Reality,30,0.0,0.84,5.88,0.196,0.14
Terraglyph Interactive Studios,3,0.05,0.37,0.73,0.24333333333333332,0.31
Terryglyph Interactive Studios,1,0.5,0.5,0.5,0.5,0.5
TetraEdge Games,1,0.13,0.13,0.13,0.13,0.13
Tetragon,1,0.03,0.03,0.03,0.03,0.03
"Tetris Online, Inc",2,0.56,0.77,1.33,0.665,0.665
Teyon,1,0.06,0.06,0.06,0.06,0.06
Teyon Entertainment,2,0.1,0.19,0.29000000000000004,0.14500000000000002,0.14500000000000002
The Adventure Company,1,0.02,0.02,0.02,0.02,0.02
The Balance Inc,2,0.02,0.03,0.05,0.025,0.025
The Behemoth,2,0.09,0.1,0.19,0.095,0.095
The Coalition,1,3.38,3.38,3.38,3.38,3.38
The Code Monkeys,7,0.0,1.52,1.56,0.22285714285714286,0.0
The Collective,4,0.0,3.32,4.74,1.185,0.71
"The Collective, Inc.",2,0.0,0.05,0.05,0.025,0.025
The Creative Assembly,18,0.0,0.67,2.99,0.16611111111111113,0.12
The Digital Lounge,1,0.03,0.03,0.03,0.03,0.03
The EDGE Interactive,1,0.08,0.08,0.08,0.08,0.08
The Farm 51,3,0.01,0.04,0.06,0.02,0.01
The Fullbright Company,1,0.0,0.0,0.0,0.0,0.0
The Fun Pimps,2,0.12,0.21,0.32999999999999996,0.16499999999999998,0.16499999999999998
The Gentlebros,1,0.04,0.04,0.04,0.04,0.04
The Method,1,0.11,0.11,0.11,0.11,0.11
The Neverhood,1,0.11,0.11,0.11,0.11,0.11
"The Neverhood, Inc.",1,0.13,0.13,0.13,0.13,0.13
The Odd Gentlemen,3,0.03,0.06,0.14,0.04666666666666667,0.05
The Pitbull Syndicate Limited,2,0.14,0.47,0.61,0.305,0.305
The Pokémon Company,1,0.28,0.28,0.28,0.28,0.28
The Quantum Astrophysicists Guild,2,0.02,0.03,0.05,0.025,0.025
The Sims Studio,25,0.0,2.31,13.83,0.5532,0.31
The Workshop,1,0.3,0.3,0.3,0.3,0.3
TheMeatly Games,3,0.16,0.18,0.51,0.17,0.17
Think and Feel,1,0.21,0.21,0.21,0.21,0.21
Thomas Happ Games,3,0.01,0.17,0.22,0.07333333333333333,0.04
Three Gates,2,0.02,0.04,0.06,0.03,0.03
Three Rings,2,0.08,0.32,0.4,0.2,0.2
TickTock Games,2,0.02,0.02,0.04,0.02,0.02
Tiertex Design Studios,3,0.08,0.16,0.36,0.12,0.12
Tigervision,2,0.45,0.69,1.14,0.57,0.57
Tigon,5,0.0,0.45,0.89,0.178,0.07
Tikipod,7,0.02,0.59,1.69,0.2414285714285714,0.16
Tilted Mill Entertainment,2,0.02,0.04,0.06,0.03,0.03
"Tilted Mill Entertainment, Inc.",1,0.0,0.0,0.0,0.0,0.0
Time Warner Interactive,1,0.03,0.03,0.03,0.03,0.03
TimeGate,1,0.01,0.01,0.01,0.01,0.01
TimeGate Studios,2,0.05,0.27,0.32,0.16,0.16
TimeGate Studios/Day 1 Studios,1,0.09,0.09,0.09,0.09,0.09
Titus Software,9,0.01,0.41,0.76,0.08444444444444445,0.03
Tivola,2,0.02,0.05,0.07,0.035,0.035
Tiwak SAS,1,0.03,0.03,0.03,0.03,0.03
Toadman Interactive,2,0.03,0.04,0.07,0.035,0.035
Toby Fox,3,0.01,0.02,0.04,0.013333333333333334,0.01
ToeJam & Earl Productions,1,0.11,0.11,0.11,0.11,0.11
Toka,2,0.08,0.12,0.2,0.1,0.1
Tokyo RPG Factory,5,0.02,0.07,0.25,0.05,0.05
Tom Create,10,0.02,1.45,3.8,0.38,0.055
Tomcat System,7,0.01,0.29,0.57,0.08142857142857142,0.03
Tommo,7,0.0,0.16,0.46,0.06571428571428571,0.06
Tomy,2,0.13,0.68,0.81,0.405,0.405
Tomy Corporation,5,0.02,0.23,0.75,0.15,0.15
Top Heavy Studios,2,0.07,0.13,0.2,0.1,0.1
TopWare Interactive,3,0.03,0.04,0.1,0.03333333333333333,0.03
Tornado Studios,2,0.02,0.25,0.27,0.135,0.135
Torus Games,58,0.0,0.96,8.85,0.15258620689655172,0.09
Torus Games Pty. Ltd.,9,0.0,0.08,0.3,0.03333333333333333,0.03
Total Eclipse,1,0.0,0.0,0.0,0.0,0.0
Totally Games,6,0.0,0.48,0.87,0.145,0.07
Touchdown Entertainment,1,0.02,0.02,0.02,0.02,0.02
TownFactory,1,0.0,0.0,0.0,0.0,0.0
Toy Box,1,0.5,0.5,0.5,0.5,0.5
Toy Box Studios,1,0.48,0.48,0.48,0.48,0.48
Toybox Games,3,0.05,0.08,0.2,0.06666666666666667,0.07
Toys for Bob,38,0.07,2.79,25.94,0.6826315789473685,0.485
Tragnarion Studios,1,0.03,0.03,0.03,0.03,0.03
Trainwreck Studios,1,0.01,0.01,0.01,0.01,0.01
Tranji,2,0.02,0.04,0.06,0.03,0.03
Transmission Games,6,0.0,0.2,0.67,0.11166666666666668,0.15000000000000002
Traveller's Tales,152,0.0,5.66,149.55,0.9838815789473685,0.685
Traveller's Tales / Heavy Iron Studios,1,0.42,0.42,0.42,0.42,0.42
"Treasure Co., Ltd.",23,0.03,0.45,3.4,0.14782608695652175,0.08
Treyarch,56,0.02,15.09,150.19,2.681964285714286,1.13
Tri Synergy,1,0.07,0.07,0.07,0.07,0.07
Tri-Crescendo,5,0.09,0.44,1.44,0.288,0.32
Triangle Service,1,0.01,0.01,0.01,0.01,0.01
Triangle Studios,3,0.03,0.1,0.18,0.06,0.05
Trickstar Games,5,0.04,0.19,0.56,0.11200000000000002,0.11
Trine Games,2,0.0,0.2,0.2,0.1,0.1
Trion Worlds,4,0.21,0.7,1.8599999999999999,0.46499999999999997,0.475
Triple Eh?,2,0.02,0.04,0.06,0.03,0.03
Tripwire Interactive,3,0.06,0.27,0.46,0.15333333333333335,0.13
Triumph Studios,6,0.02,0.4,1.1600000000000001,0.19333333333333336,0.195
Troika Games,1,0.0,0.0,0.0,0.0,0.0
Tryfirst,4,0.0,0.03,0.04,0.01,0.005
Tubby Games,2,0.0,0.21,0.21,0.105,0.105
Tuning Electronic,1,0.05,0.05,0.05,0.05,0.05
Turbine Inc.,1,0.02,0.02,0.02,0.02,0.02
Turbo Tape Games,1,0.0,0.0,0.0,0.0,0.0
Turn 10,1,0.03,0.03,0.03,0.03,0.03
Turn 10 Studio,2,0.04,4.6,4.64,2.32,2.32
Turn 10 Studios,5,1.05,5.5,14.52,2.904,2.4
Turtle Rock Studios,2,0.67,1.01,1.6800000000000002,0.8400000000000001,0.8400000000000001
Twelve Games,2,0.03,0.03,0.06,0.03,0.03
Twilight Frontier,1,0.02,0.02,0.02,0.02,0.02
Twisted Pixel Games,1,0.4,0.4,0.4,0.4,0.4
Two Tribes,4,0.0,0.15,0.3,0.075,0.075
Type-Moon,5,0.06,0.17,0.52,0.10400000000000001,0.1
UBIart Montpellier,2,0.07,0.59,0.6599999999999999,0.32999999999999996,0.32999999999999996
UDS,3,0.1,0.93,1.3900000000000001,0.4633333333333334,0.36
UEP Systems,3,0.02,2.25,2.7,0.9,0.43
UFO Interactive,8,0.0,0.06,0.21,0.02625,0.02
UIG Entertainment,5,0.0,0.03,0.07,0.014000000000000002,0.01
UK Magic,1,0.28,0.28,0.28,0.28,0.28
UNiSONSHIFT,1,0.02,0.02,0.02,0.02,0.02
USM,1,0.02,0.02,0.02,0.02,0.02
Uacari,6,0.0,0.38,0.48,0.08,0.005
Ubi Nagoya,1,0.54,0.54,0.54,0.54,0.54
Ubisoft,196,0.0,6.89,62.4,0.3183673469387755,0.11
Ubisoft Annecy,2,0.48,1.01,1.49,0.745,0.745
Ubisoft Barcelona,2,0.08,0.36,0.44,0.22,0.22
Ubisoft Barcelona / Inland Productions,2,0.05,0.28,0.33,0.165,0.165
Ubisoft Barcelona / Ubisoft Reflections,1,0.47,0.47,0.47,0.47,0.47
Ubisoft Bucharest,4,0.05,0.41,0.9199999999999999,0.22999999999999998,0.22999999999999998
Ubisoft Bulgaria,3,0.01,0.15,0.3,0.09999999999999999,0.14
Ubisoft Casablanca,5,0.07,0.48,1.25,0.25,0.13
Ubisoft Milan,5,0.0,0.69,1.52,0.304,0.14
Ubisoft Montpellier,30,0.0,4.37,20.3,0.6766666666666666,0.29500000000000004
Ubisoft Montreal,172,0.0,6.5,172.96,1.0055813953488373,0.475
Ubisoft Montreal / Annecy,1,0.95,0.95,0.95,0.95,0.95
Ubisoft Montreal / Red Storm Entertainment,3,0.06,1.55,2.42,0.8066666666666666,0.81
Ubisoft Nagoya,1,0.03,0.03,0.03,0.03,0.03
Ubisoft Paris,67,0.0,3.89,40.910000000000004,0.6105970149253732,0.38
Ubisoft Pune,1,0.08,0.08,0.08,0.08,0.08
Ubisoft Quebec,14,0.06,3.6,12.32,0.88,0.275
Ubisoft Quebec City,1,0.19,0.19,0.19,0.19,0.19
Ubisoft Reflections,9,0.15,1.79,5.07,0.5633333333333334,0.23
Ubisoft Romania,15,0.0,0.84,4.2700000000000005,0.2846666666666667,0.15
Ubisoft San Francisco,12,0.01,1.43,6.28,0.5233333333333333,0.525
Ubisoft Sao Paulo,1,0.22,0.22,0.22,0.22,0.22
Ubisoft Shanghai,21,0.0,1.48,7.17,0.3414285714285714,0.13
Ubisoft Sofia,4,0.1,1.3,2.5700000000000003,0.6425000000000001,0.585
Ubisoft Toronto,6,0.1,1.0,2.96,0.49333333333333335,0.38999999999999996
Ubisoft Vancouver,5,0.12,0.27,0.97,0.194,0.18
Ukiyotei,1,0.08,0.08,0.08,0.08,0.08
Ultimation Inc,1,0.0,0.0,0.0,0.0,0.0
Ultimation Inc.,1,0.0,0.0,0.0,0.0,0.0
Ultravision,1,0.47,0.47,0.47,0.47,0.47
Undead Labs,2,0.21,0.46,0.67,0.335,0.335
Unexpected Development,1,0.0,0.0,0.0,0.0,0.0
Unicorn-A,1,0.0,0.0,0.0,0.0,0.0
Unigine Corp,1,0.02,0.02,0.02,0.02,0.02
Unique Development Studios,1,0.15,0.15,0.15,0.15,0.15
Unique Development Studios Sweden,2,0.05,0.07,0.12000000000000001,0.060000000000000005,0.060000000000000005
Unit,1,0.3,0.3,0.3,0.3,0.3
United Coders,1,0.02,0.02,0.02,0.02,0.02
United Front Games,6,0.2,1.13,4.56,0.7599999999999999,0.875
United Game Artists,2,0.05,0.08,0.13,0.065,0.065
Universal Gamex,1,0.63,0.63,0.63,0.63,0.63
Universomo,2,0.08,0.22,0.3,0.15,0.15
Unknown,435,0.0,2.39,54.33,0.12489655172413792,0.02
Unknown Worlds Entertainment,2,0.07,0.12,0.19,0.095,0.095
Untold Games,1,0.08,0.08,0.08,0.08,0.08
V Jump / Square Enix,1,0.02,0.02,0.02,0.02,0.02
VAC,1,0.29,0.29,0.29,0.29,0.29
VCC Entertainment,1,0.06,0.06,0.06,0.06,0.06
VIS Entertainment,13,0.03,1.76,3.98,0.30615384615384617,0.16
VITEI,1,0.01,0.01,0.01,0.01,0.01
VIVARIUM Inc.,5,0.0,0.52,1.01,0.202,0.11
VSTEP,4,0.0,0.05,0.060000000000000005,0.015000000000000001,0.005
VU Games,5,0.0,0.6,0.9,0.18,0.09
Valcon Games,1,0.05,0.05,0.05,0.05,0.05
Valhalla Game Studios,2,0.05,0.4,0.45,0.225,0.225
ValuSoft,15,0.0,0.64,2.35,0.15666666666666668,0.11
Valve Corporation,1,0.0,0.0,0.0,0.0,0.0
Valve Software,7,0.0,2.08,6.36,0.9085714285714286,0.61
Vanguard,1,0.09,0.09,0.09,0.09,0.09
Vanillaware,11,0.0,0.56,2.45,0.22272727272727275,0.13
Vanpool,4,0.02,0.25,0.4,0.1,0.065
Various,26,0.0,1.75,4.91,0.18884615384615386,0.065
Vast Studios,2,0.0,0.0,0.0,0.0,0.0
Vectordean,1,0.03,0.03,0.03,0.03,0.03
Velez & Dubail,2,0.03,0.05,0.08,0.04,0.04
Venan Entertainment / Cashmere Productions,1,0.13,0.13,0.13,0.13,0.13
Venom Games,3,0.08,0.25,0.43,0.14333333333333334,0.1
Venom Games / Human Head Studios,1,0.32,0.32,0.32,0.32,0.32
Vertex,1,0.07,0.07,0.07,0.07,0.07
Vertigo Gaming Inc.,1,0.0,0.0,0.0,0.0,0.0
Vicarious Visions,91,0.0,4.83,65.99,0.7251648351648351,0.45
Vicious Cycle,24,0.0,0.61,3.02,0.12583333333333332,0.11499999999999999
Victor Interactive,1,0.07,0.07,0.07,0.07,0.07
Victor Interactive Software,7,0.02,0.4,1.37,0.19571428571428573,0.16
Video System,1,0.28,0.28,0.28,0.28,0.28
Vigil Games,6,0.15,1.06,3.29,0.5483333333333333,0.535
Villa Gorilla,3,0.01,0.02,0.04,0.013333333333333334,0.01
Village1 Entertainment,1,0.0,0.0,0.0,0.0,0.0
Ving,1,0.25,0.25,0.25,0.25,0.25
Vingt-et-un Systems,9,0.0,1.08,1.22,0.13555555555555554,0.02
Vir2L Studios,1,0.35,0.35,0.35,0.35,0.35
Virgin Interactive,1,0.0,0.0,0.0,0.0,0.0
Virgin Play,1,0.0,0.0,0.0,0.0,0.0
Virtuacraft,1,0.04,0.04,0.04,0.04,0.04
Virtual Air Guitar Company,1,0.13,0.13,0.13,0.13,0.13
Virtual Identity,2,0.0,0.01,0.01,0.005,0.005
Virtual Playground,1,0.0,0.0,0.0,0.0,0.0
Virtual Toys,6,0.0,0.29,0.41,0.06833333333333333,0.035
Virtual Toys / Lexis Numerique,7,0.21,2.81,7.0600000000000005,1.0085714285714287,1.05
Virtucraft,5,0.0,0.7,1.53,0.306,0.22
Virtucraft / Sennari Interactive,1,0.0,0.0,0.0,0.0,0.0
Virtuos,15,0.03,0.55,3.0500000000000003,0.20333333333333334,0.11
Virtuos / Game Source,1,0.14,0.14,0.14,0.14,0.14
Virtuos Games,1,0.34,0.34,0.34,0.34,0.34
Visceral Games,12,0.19,1.52,8.7,0.725,0.6950000000000001
Vision Media Engineering,1,0.05,0.05,0.05,0.05,0.05
Vision Scape,1,0.1,0.1,0.1,0.1,0.1
Vision Works,1,0.0,0.0,0.0,0.0,0.0
"Vision Scape Interactive, Inc.",1,0.06,0.06,0.06,0.06,0.06
Visual Arts,10,0.0,0.04,0.22,0.022,0.025
Visual Concepts,134,0.0,3.98,97.61,0.7284328358208955,0.365
"Visual Concepts, Ltd.",8,0.04,0.5,1.76,0.22,0.16
Visual Impact,18,0.02,2.87,6.7700000000000005,0.3761111111111111,0.11
Visual Impact Productions,1,0.02,0.02,0.02,0.02,0.02
Visual Science,2,0.03,0.1,0.13,0.065,0.065
Visual Sciences,1,0.25,0.25,0.25,0.25,0.25
Visual Sciences Ltd.,2,0.03,0.12,0.15,0.075,0.075
Viva Media,1,0.01,0.01,0.01,0.01,0.01
"Viva Media, LLC",1,0.03,0.03,0.03,0.03,0.03
Vivid Image,3,0.06,0.16,0.3,0.09999999999999999,0.08
Vogster Entertainment,1,0.07,0.07,0.07,0.07,0.07
Volatile Games,3,0.0,0.28,0.49,0.16333333333333333,0.21
Volition,2,0.05,0.09,0.14,0.07,0.07
Volition Inc.,30,0.0,3.07,22.12,0.7373333333333334,0.385
Voxler,1,0.1,0.1,0.1,0.1,0.1
Vridge,6,0.01,0.03,0.13999999999999999,0.02333333333333333,0.025
Vridge Inc.,6,0.01,0.02,0.11,0.018333333333333333,0.02
W!Games,1,0.31,0.31,0.31,0.31,0.31
WBIE,2,0.23,0.51,0.74,0.37,0.37
WRF Studios,1,0.0,0.0,0.0,0.0,0.0
WXP,5,0.01,0.54,1.29,0.258,0.12
WXP / Screenlife Games,1,0.48,0.48,0.48,0.48,0.48
Wales Interactive Ltd.,1,0.03,0.03,0.03,0.03,0.03
Wanadoo,1,0.02,0.02,0.02,0.02,0.02
Warashi,1,0.12,0.12,0.12,0.12,0.12
Warashi Inc.,1,0.02,0.02,0.02,0.02,0.02
Wargaming West,1,0.03,0.03,0.03,0.03,0.03
Wargaming.net,2,0.02,0.28,0.30000000000000004,0.15000000000000002,0.15000000000000002
Warhorse Studios,2,0.22,0.56,0.78,0.39,0.39
Warner Bros. Interactive Entertainment,8,0.0,2.4,5.0,0.625,0.10500000000000001
Warp,3,0.07,0.41,0.59,0.19666666666666666,0.11
Warthog,20,0.0,0.5,2.72,0.136,0.095
Way Forward,11,0.01,0.19,1.11,0.10090909090909092,0.1
Way Forward Technologies,6,0.02,0.23,0.49,0.08166666666666667,0.065
WayForward,10,0.02,1.46,2.35,0.23500000000000001,0.11
WayForward Pocket Team,1,0.28,0.28,0.28,0.28,0.28
WayForward Technologies,32,0.0,0.51,5.74,0.179375,0.125
Weappy Studio,6,0.0,0.02,0.08,0.013333333333333334,0.015
Webfoot Technologies,14,0.0,1.69,5.5600000000000005,0.3971428571428572,0.145
"Webfoot Technologies, Inc.",3,0.1,0.45,0.7,0.2333333333333333,0.15
WeirdBeard,1,0.02,0.02,0.02,0.02,0.02
Westwood Studios,12,0.0,1.79,6.6,0.5499999999999999,0.325
Wheelhaus,1,0.24,0.24,0.24,0.24,0.24
White Birds Productions,3,0.0,0.02,0.02,0.006666666666666667,0.0
White Wolf Productions,1,0.02,0.02,0.02,0.02,0.02
WhiteBear Studios,2,0.04,0.06,0.1,0.05,0.05
WhiteMoon Dreams,1,0.05,0.05,0.05,0.05,0.05
Whoopee Camp,2,0.26,0.29,0.55,0.275,0.275
Wicked Studios,2,0.0,0.08,0.08,0.04,0.04
Wicked Witch Software,5,0.0,0.05,0.13,0.026000000000000002,0.03
Wide Games,2,0.0,0.08,0.08,0.04,0.04
WideScreen Games,4,0.02,0.2,0.45,0.1125,0.11499999999999999
Wideload Games,4,0.05,0.45,0.67,0.1675,0.08499999999999999
Wild Games,1,0.02,0.02,0.02,0.02,0.02
WildTangent,1,0.35,0.35,0.35,0.35,0.35
Wildfire Studios,1,0.0,0.0,0.0,0.0,0.0
Will,3,0.0,0.03,0.05,0.016666666666666666,0.02
"Will Co., Ltd. Noisycroak",2,0.0,0.08,0.08,0.04,0.04
William's Entertainment,1,0.53,0.53,0.53,0.53,0.53
"Williams Electronic Games, Inc.",1,0.45,0.45,0.45,0.45,0.45
Williams Entertainment,1,0.27,0.27,0.27,0.27,0.27
Williams Entertainment Inc.,1,0.78,0.78,0.78,0.78,0.78
Winky Soft,2,0.51,0.55,1.06,0.53,0.53
WinkySoft,7,0.02,0.37,0.72,0.10285714285714286,0.06
Wired Productions,1,0.01,0.01,0.01,0.01,0.01
Wish Studio,2,0.04,0.61,0.65,0.325,0.325
Witch Craft,1,0.07,0.07,0.07,0.07,0.07
WitchCraft,2,0.0,0.12,0.12,0.06,0.06
WizarBox,8,0.01,0.48,0.9099999999999999,0.11374999999999999,0.025
Wizarbox Studios,2,0.04,0.08,0.12,0.06,0.06
Wizard Video Games,1,0.62,0.62,0.62,0.62,0.62
WorkJam,8,0.01,0.11,0.28,0.035,0.02
World Forge,1,0.0,0.0,0.0,0.0,0.0
World-Loom,1,0.0,0.0,0.0,0.0,0.0
Wow Entertainment,10,0.04,0.39,1.56,0.156,0.13
X-Bow Software,1,0.0,0.0,0.0,0.0,0.0
X-ample,1,0.52,0.52,0.52,0.52,0.52
XPEC,5,0.03,0.92,1.71,0.34199999999999997,0.08
XPEC Entertainment,1,0.09,0.09,0.09,0.09,0.09
XPEC Entertainment Inc.,4,0.11,0.29,0.72,0.18,0.16
XS Games,1,0.07,0.07,0.07,0.07,0.07
XXV Productions,2,0.0,0.0,0.0,0.0,0.0
"Xatrix Entertainment, Inc.",1,0.09,0.09,0.09,0.09,0.09
Xing Entertainment,4,0.01,0.24,0.53,0.1325,0.14
Xing Inc.,4,0.09,0.25,0.6799999999999999,0.16999999999999998,0.16999999999999998
Xseed Games,2,0.06,0.13,0.19,0.095,0.095
Xuse,1,0.02,0.02,0.02,0.02,0.02
"YGGDRAZIL GROUP CO.,LTD",1,0.07,0.07,0.07,0.07,0.07
YSK,2,0.01,0.09,0.09999999999999999,0.049999999999999996,0.049999999999999996
Yager Development,4,0.05,0.55,1.25,0.3125,0.325
Yamasa Entertainment,4,0.0,0.02,0.05,0.0125,0.015
Yeti,10,0.01,0.05,0.22,0.022,0.015
Yoostar Entertainment Group,1,0.09,0.09,0.09,0.09,0.09
Youda Games,2,0.0,0.01,0.01,0.005,0.005
Yuke's,30,0.14,3.58,37.59,1.2530000000000001,0.645
"Yuke's Co., Ltd.",3,0.34,1.27,2.79,0.93,1.18
Yuke's Future Media Creators,13,0.02,1.42,4.75,0.36538461538461536,0.21
Yuke's Media Creations,22,0.03,2.34,17.52,0.7963636363636364,0.79
Yuke's Osaka,2,1.76,2.07,3.83,1.915,1.915
Yuki Enterprise,1,0.02,0.02,0.02,0.02,0.02
Yukie's Osaka,2,1.0,1.05,2.05,1.025,1.025
Yumedia,1,0.06,0.06,0.06,0.06,0.06
Z-Axis,3,0.07,0.39,0.81,0.27,0.35
"Z-Axis, Ltd.",18,0.0,1.38,5.32,0.29555555555555557,0.185
Zed Two Limited,6,0.02,0.11,0.4,0.06666666666666667,0.07500000000000001
Zen Studios,1,0.03,0.03,0.03,0.03,0.03
Zen Studios Inc.,1,0.4,0.4,0.4,0.4,0.4
Zener Works,1,0.36,0.36,0.36,0.36,0.36
ZeniMax Online Studios,9,0.01,2.05,5.1,0.5666666666666667,0.14
